unitid,weightedEnrollment,totalEnrollment,locale,InstControl,cbsatype,TotalRate,UGaidrate,FallNonResRate,FallResRate,FallDistRate,ResCost,NonResCost,AvgSalary,TotalStaff,SalariesPaid,staffperstu
148016,-708.8655721,78,4,Private not-for-profit,1,85.9,98.82,,,,29970,29970,73241.428571,56,4101520,0.72
148131,-508.8655721,278,3,Private not-for-profit,2,41.73,85.26,,,,31160,31160,52867.137255,51,2696224,0.18
148405,-622.8655721,164,1,Private not-for-profit,1,31.71,85.67,,,,33750,33750,55279.085714,70,3869536,0.43
148487,-347.8655721,439,1,Private not-for-profit,1,38.72,86.02,,,,31493,31493,77247.366667,150,11587105,0.34
148584,-605.8655721,181,2,Private not-for-profit,1,64.64,87.15,,,,35000,35000,72916.298851,87,6343718,0.48
148627,-166.8655721,620,1,Private not-for-profit,1,51.77,96.1,,,,33960,33960,70718.496,125,8839812,0.2
148654,-532.8655721,254,1,Public,1,51.57,70.23,7.19,92.81,,9645,16449,76057.419355,186,14146680,0.73
149222,1368.1344279,2155,1,Public,1,44.78,81.08,1.66,98.34,,9638,9638,70428.580093,643,45285577,0.3
149231,1283.1344279,2070,2,Public,1,51.79,72.17,,100,,8579,8579,73496.312261,522,38365075,0.25
149505,-596.8655721,190,2,Private not-for-profit,1,66.84,86.01,,,,32800,32800,66516.2,55,3658391,0.29
149772,715.13442791,1502,3,Public,2,50.87,93.76,,100,,8886,8886,80215.296117,412,33048702,0.27
149781,-181.8655721,605,2,Private not-for-profit,1,87.6,87.02,,,,40570,40570,84677.004762,210,17782171,0.35
150066,-365.8655721,421,1,Private not-for-profit,1,62.95,98.09,,,,32260,32260,56658.354167,96,5439202,0.23
150136,2701.1344279,3488,1,Public,1,68.18,81.36,9.49,89.22,,9628,26862,69375.377033,984,68265371,0.28
150145,-517.8655721,269,1,Private not-for-profit,1,63.57,85.1,,,,30270,30270,52513.650794,63,3308360,0.23
150163,147.13442791,934,1,Private not-for-profit,1,82.23,93.79,,,,42410,42410,79933.908475,295,23580503,0.32
150172,-672.8655721,114,2,Private not-for-profit,1,21.05,97,,,,19900,19900,49274.866667,15,739123,0.13
150400,-190.8655721,596,3,Private not-for-profit,1,82.55,96.35,,,,52900,52900,83853.984127,189,15848403,0.32
150455,-534.8655721,252,3,Private not-for-profit,2,72.62,98.78,,,,48253,48253,67278.651163,86,5785964,0.34
150534,-271.8655721,515,1,Private not-for-profit,1,69.32,84.71,,,,38600,38600,78111.181208,149,11638566,0.29
150604,-497.8655721,289,2,Private not-for-profit,1,61.25,100,,,,34766,34766,58356.15942,69,4026575,0.24
150677,-435.8655721,351,3,Private not-for-profit,2,71.51,83.06,,,,24144,24144,67325.229167,48,3231611,0.14
150756,-482.8655721,304,3,Private not-for-profit,2,63.49,99.9,,,,39400,39400,75040.28125,96,7203867,0.32
150774,-608.8655721,178,2,Private not-for-profit,1,67.98,82.2,,,,32800,32800,52995.809524,21,1112912,0.12
150941,-579.8655721,207,3,Private not-for-profit,2,68.6,81.13,,,,26986,26986,60506.844444,45,2722808,0.22
151102,636.13442791,1423,1,Public,1,37.67,70.66,0.9,92.34,,7703,20111,55630.87069,348,19359543,0.24
151263,169.13442791,956,1,Private not-for-profit,1,63.49,95.01,,,,31972,31972,70794.753363,223,15787230,0.23
151290,-396.8655721,390,1,Private not-for-profit,1,39.74,88.21,,,,28356,28356,77713.732143,56,4351969,0.14
151306,834.13442791,1621,2,Public,1,50.28,59.01,10.01,89.99,,8909,21212,67309.170124,241,16221510,0.15
151777,-396.8655721,390,3,Private not-for-profit,2,54.87,98.71,,,,33178,33178,61079.266667,60,3664756,0.15
151786,-482.8655721,304,1,Private not-for-profit,1,64.47,70.29,,,,36600,36600,65503.654676,139,9105008,0.46
151801,-103.8655721,683,3,Private not-for-profit,2,71.16,91.15,,,,28960,28960,69397.509294,269,18667930,0.39
152080,1214.1344279,2001,2,Private not-for-profit,1,95.9,60.04,,,,58336,58336,147577.86566,1057,155989804,0.53
152099,-710.8655721,76,3,Private not-for-profit,3,63.16,23.14,,,,25740,25740,54804.75,32,1753752,0.42
152318,-243.8655721,543,1,Private not-for-profit,1,86.74,98.07,,,,49479,49479,99095.137143,175,17341649,0.32
152336,-442.8655721,344,1,Private not-for-profit,1,56.69,96.69,,,,32230,32230,60160.0125,80,4812801,0.23
152381,-718.8655721,68,4,Private not-for-profit,1,61.76,92.9,,,,29950,29950,49500,2,99000,0.03
152390,-367.8655721,419,2,Private not-for-profit,1,74.46,97.71,,,,47000,47000,67311.93662,142,9558295,0.34
152530,-268.8655721,518,3,Private not-for-profit,2,76.83,83.77,,,,36270,36270,63882.057377,122,7793611,0.24
152567,-316.8655721,470,3,Private not-for-profit,2,63.62,65.13,,,,33650,33650,68328.009091,110,7516081,0.23
152600,-45.86557209,741,2,Private not-for-profit,1,74.49,98.31,,,,43400,43400,66227.272727,209,13841500,0.28
152637,-721.8655721,65,3,Public,2,29.23,23.06,7.9,92.1,,5926,14730,54690.417722,158,8641086,2.43
152673,-551.8655721,235,3,Private not-for-profit,2,82.98,99.42,,,,45000,45000,79576.88172,93,7400650,0.4
152992,-601.8655721,185,1,Private not-for-profit,1,55.68,77.95,,,,32526,32526,61320.444444,63,3863188,0.34
153108,-470.8655721,316,3,Private not-for-profit,2,66.14,92.32,,,,19250,19250,67885.595745,94,6381246,0.3
153126,-608.8655721,178,1,Private not-for-profit,1,54.49,97.88,,,,35740,35740,55700.57377,61,3397735,0.34
153144,-409.8655721,377,1,Private not-for-profit,1,64.46,98.06,,,,48472,48472,60280.672131,122,7354242,0.32
153162,-510.8655721,276,3,Private not-for-profit,1,63.77,99.2,,,,47100,47100,70024.817073,82,5742035,0.3
153241,-785.8655721,1,4,Private not-for-profit,1,100,100,,,,14000,14000,55632.75,20,1112655,20
